Day,Plot,Transmission,Year
202,53,0.1148,2012
207,53,0.0743,2012
214,53,0.052,2012
223,53,0.0425,2012
235,53,0.0223,2012
251,53,0.0172,2012
102,56,0.8708,2012
121,56,0.9374,2012
129,56,0.8558,2012
137,56,0.9049,2012
143,56,0.7071,2012
151,56,0.3685,2012
166,56,0.1553,2012
172,56,0.1375,2012
178,56,0.0857,2012
187,56,0.0628,2012
193,56,0.0384,2012
202,56,0.0202,2012
207,56,0.0268,2012
214,56,0.0209,2012
223,56,0.0219,2012
235,56,0.0355,2012
251,56,0.0604,2012
102,57,0.6781,2012
121,57,0.9579,2012
129,57,0.8222,2012
137,57,0.7993,2012
143,57,0.7033,2012
151,57,0.4491,2012
166,57,0.303,2012
172,57,0.2473,2012
178,57,0.1891,2012
187,57,0.1191,2012
193,57,0.089,2012
202,57,0.068,2012
207,57,0.0292,2012
214,57,0.0341,2012
223,57,0.0153,2012
235,57,0.0127,2012
251,57,0.0107,2012
102,58,0.8518,2012
121,58,0.9187,2012
129,58,0.9126,2012
137,58,0.7216,2012
143,58,0.8868,2012
151,58,0.6547,2012
166,58,0.4513,2012
172,58,0.3281,2012
178,58,0.3294,2012
187,58,0.2575,2012
193,58,0.1862,2012
202,58,0.2291,2012
207,58,0.1056,2012
214,58,0.1865,2012
223,58,0.2327,2012
235,58,0.1546,2012
251,58,0.1862,2012
102,61,0.9191,2012
121,61,0.8757,2012
129,61,0.8068,2012
137,61,0.85,2012
143,61,0.67,2012
151,61,0.4734,2012
166,61,0.3588,2012
172,61,0.2122,2012
178,61,0.1367,2012
187,61,0.0838,2012
193,61,0.0669,2012
202,61,0.0575,2012
207,61,0.0372,2012
214,61,0.0563,2012
223,61,0.0327,2012
235,61,0.0431,2012
251,61,0.0519,2012
102,62,0.9053,2012
121,62,0.9613,2012
129,62,0.8311,2012
137,62,0.8591,2012
143,62,0.5867,2012
151,62,0.2826,2012
166,62,0.1654,2012
172,62,0.0836,2012
178,62,0.0507,2012
187,62,0.0458,2012
193,62,0.0316,2012
202,62,0.04,2012
207,62,0.0124,2012
214,62,0.0509,2012
223,62,0.0383,2012
235,62,0.0525,2012
251,62,0.0651,2012
